date,open,high,low,close,volume,vwap,Returns
09/19/2013 9:23:48,1718.5,1720.25,1718.5,1720,20737,1719.361492,0.000290613
09/19/2013 9:26:07,1720,1721,1720,1720.5,20714,1720.580368,-0.000581564
09/19/2013 9:31:44,1720.5,1721,1719.5,1719.5,20688,1720.289093,-0.000581903
09/19/2013 9:36:30,1719.5,1719.75,1718.25,1718.5,20771,1718.982849,0.000872093
09/19/2013 9:43:12,1718.5,1720.25,1718.25,1720,20733,1719.493151,-0.000290782
09/19/2013 9:50:11,1720,1720.5,1719.25,1719.5,20725,1719.842111,0.00014537
09/19/2013 9:59:37,1719.5,1720,1718.75,1719.75,20717,1719.424229,-0.000581818
09/19/2013 10:08:05,1719.75,1720,1718.75,1718.75,20739,1719.413954,-0.000582157
09/19/2013 10:12:25,1718.75,1718.75,1717.5,1717.75,20751,1718.064491,0.000727167
09/19/2013 10:19:30,1718,1719,1717.5,1719,20746,1718.135833,-0.000290951
09/19/2013 10:28:11,1719,1719.5,1718,1718.5,20724,1718.718141,-0.000873617
09/19/2013 10:32:13,1718.5,1718.75,1717,1717,20667,1717.977972,-0.000582751
09/19/2013 10:33:43,1717,1717.25,1716,1716,20763,1716.678081,0.000582411
09/19/2013 10:35:41,1716,1717,1715.5,1717,20866,1716.200589,0.000145582
09/19/2013 10:43:58,1717,1717.75,1716.5,1717.25,20732,1717.026927,-0.000291248
09/19/2013 10:53:38,1717.25,1717.5,1716.25,1716.75,20781,1716.906453,0.000582157
09/19/2013 11:03:16,1716.75,1718,1716.25,1717.75,20766,1716.940456,0.000436427
